league,slug,kickoff,side,horizon_h,pm_price,avg_open,avg_close,b365_close,pin_close,bfe_close,outcome,volume
E0,epl-sun-new-2025-12-14,2025-12-14T14:00:00+00:00,H,6,0.27,0.2901,0.278,0.2821,0.2697,0.2723,1,608550
E0,epl-sun-new-2025-12-14,2025-12-14T14:00:00+00:00,H,24,0.29,0.2901,0.278,0.2821,0.2697,0.2723,1,608550
E0,epl-sun-new-2025-12-14,2025-12-14T14:00:00+00:00,D,1,0.28,0.284,0.283,0.2821,0.2838,0.28,0,42649
E0,epl-sun-new-2025-12-14,2025-12-14T14:00:00+00:00,D,6,0.3,0.284,0.283,0.2821,0.2838,0.28,0,42649
E0,epl-sun-new-2025-12-14,2025-12-14T14:00:00+00:00,D,24,0.29,0.284,0.283,0.2821,0.2838,0.28,0,42649
E0,epl-sun-new-2025-12-14,2025-12-14T14:00:00+00:00,A,1,0.45,0.426,0.4389,0.4359,0.4465,0.4477,0,247155
E0,epl-sun-new-2025-12-14,2025-12-14T14:00:00+00:00,A,6,0.44,0.426,0.4389,0.4359,0.4465,0.4477,0,247155
E0,epl-sun-new-2025-12-14,2025-12-14T14:00:00+00:00,A,24,0.43,0.426,0.4389,0.4359,0.4465,0.4477,0,247155
E0,epl-bre-lee-2025-12-14,2025-12-14T16:30:00+00:00,H,1,0.45,0.4873,0.4426,0.4447,0.4365,0.447,0,777852
E0,epl-bre-lee-2025-12-14,2025-12-14T16:30:00+00:00,H,6,0.49,0.4873,0.4426,0.4447,0.4365,0.447,0,777852
E0,epl-bre-lee-2025-12-14,2025-12-14T16:30:00+00:00,H,24,0.48,0.4873,0.4426,0.4447,0.4365,0.447,0,777852
E0,epl-bre-lee-2025-12-14,2025-12-14T16:30:00+00:00,D,1,0.29,0.2671,0.2914,0.2897,0.2923,0.2919,1,154922
E0,epl-bre-lee-2025-12-14,2025-12-14T16:30:00+00:00,D,6,0.29,0.2671,0.2914,0.2897,0.2923,0.2919,1,154922
E0,epl-bre-lee-2025-12-14,2025-12-14T16:30:00+00:00,D,24,0.28,0.2671,0.2914,0.2897,0.2923,0.2919,1,154922
E0,epl-bre-lee-2025-12-14,2025-12-14T16:30:00+00:00,A,1,0.26,0.2456,0.266,0.2656,0.2712,0.2611,0,264921
E0,epl-bre-lee-2025-12-14,2025-12-14T16:30:00+00:00,A,6,0.24,0.2456,0.266,0.2656,0.2712,0.2611,0,264921
E0,epl-bre-lee-2025-12-14,2025-12-14T16:30:00+00:00,A,24,0.24,0.2456,0.266,0.2656,0.2712,0.2611,0,264921
E0,epl-mun-bou-2025-12-15,2025-12-15T20:00:00+00:00,H,1,0.54,0.5178,0.5404,0.552,0.5356,0.5485,0,1887219
E0,epl-mun-bou-2025-12-15,2025-12-15T20:00:00+00:00,H,6,0.54,0.5178,0.5404,0.552,0.5356,0.5485,0,1887219
E0,epl-mun-bou-2025-12-15,2025-12-15T20:00:00+00:00,H,24,0.55,0.5178,0.5404,0.552,0.5356,0.5485,0,1887219
E0,epl-mun-bou-2025-12-15,2025-12-15T20:00:00+00:00,D,1,0.2383,0.2368,0.2276,0.2206,0.2336,0.2309,1,444072
E0,epl-mun-bou-2025-12-15,2025-12-15T20:00:00+00:00,D,6,0.22,0.2368,0.2276,0.2206,0.2336,0.2309,1,444072
